data,ticker,setor,preco_fechamento,volume,retorno_acumulado
2024-03-19,PETR4,Energia,38.16,2675946,4.54
2024-03-20,PETR4,Energia,38.48,4217229,5.42
2024-03-21,PETR4,Energia,37.16,6099171,1.8
2024-03-22,PETR4,Energia,37.05,5298641,1.51
2024-03-25,PETR4,Energia,38.36,3405926,5.09
2024-03-26,PETR4,Energia,37.35,2562009,2.32
2024-03-27,PETR4,Energia,37.79,4000421,3.54
2024-03-28,PETR4,Energia,37.71,1894195,3.31
2024-03-29,PETR4,Energia,36.69,2172739,0.51
2024-04-01,PETR4,Energia,37.1,6954403,1.64
2024-04-02,PETR4,Energia,36.42,3996850,-0.22
2024-04-03,PETR4,Energia,37.57,2747595,2.92
2024-04-04,PETR4,Energia,37.88,4948372,3.78
2024-04-05,PETR4,Energia,38.63,6221287,5.84
2024-04-08,PETR4,Energia,38.75,2617371,6.16
2024-04-09,PETR4,Energia,39.9,2640017,9.32
2024-04-10,PETR4,Energia,40.43,2479771,10.76
2024-04-11,PETR4,Energia,40.58,5293155,11.19
2024-04-12,PETR4,Energia,41.86,5318908,14.68
2024-04-15,PETR4,Energia,41.07,6536756,12.53
2024-04-16,PETR4,Energia,42.4,5412932,16.17
2024-04-17,PETR4,Energia,42.12,1445391,15.41
2024-04-18,PETR4,Energia,41.5,3762078,13.69
2024-04-19,PETR4,Energia,42.59,1925713,16.68
2024-04-22,PETR4,Energia,40.04,2529526,9.7
2024-04-23,PETR4,Energia,41.07,3560092,12.53
2024-04-24,PETR4,Energia,41.08,4964299,12.54
2024-04-25,PETR4,Energia,41.9,2093982,14.8
2024-04-26,PETR4,Energia,41.15,1022376,12.73
2024-04-29,PETR4,Energia,40.7,3577824,11.51
2024-04-30,PETR4,Energia,41.38,12259182,13.37
2024-05-01,PETR4,Energia,42.48,2953722,16.39
2024-05-02,PETR4,Energia,43.07,3346607,17.99
2024-05-03,PETR4,Energia,42.86,7969097,17.44
2024-05-06,PETR4,Energia,42.1,4391306,15.33
2024-05-07,PETR4,Energia,41.56,3643409,13.85
2024-05-08,PETR4,Energia,41.86,4077759,14.68
2024-05-09,PETR4,Energia,41.84,3704733,14.63
2024-05-10,PETR4,Energia,41.74,1848939,14.35
2024-05-13,PETR4,Energia,42.28,1671575,15.84
2024-05-14,PETR4,Energia,41.84,8397243,14.64
2024-05-15,PETR4,Energia,42.08,3583826,15.28
2024-05-16,PETR4,Energia,43.98,3436787,20.5
2024-05-17,PETR4,Energia,44.33,3124816,21.46
2024-05-20,PETR4,Energia,43.89,4830867,20.25
2024-05-21,PETR4,Energia,44.54,11632873,22.03
2024-05-22,PETR4,Energia,45.28,4248074,24.04
2024-05-23,PETR4,Energia,46.57,2436216,27.59
2024-05-24,PETR4,Energia,46.02,3058085,26.09
2024-05-27,PETR4,Energia,46.76,5584459,28.1
2024-05-28,PETR4,Energia,45.85,2442663,25.61
2024-05-29,PETR4,Energia,47.67,5005877,30.61
2024-05-30,PETR4,Energia,47.68,1024414,30.63
2024-05-31,PETR4,Energia,46.75,2914066,28.07
2024-06-03,PETR4,Energia,47.59,4475237,30.39
2024-06-04,PETR4,Energia,44.97,6169095,23.19
2024-06-05,PETR4,Energia,43.49,2171139,19.15
2024-06-06,PETR4,Energia,43.83,1542041,20.09
2024-06-07,PETR4,Energia,45.74,2869454,25.33
2024-06-10,PETR4,Energia,46.45,1862239,27.26
2024-06-11,PETR4,Energia,47.28,3034270,29.53
2024-06-12,PETR4,Energia,48.54,3258160,32.98
2024-06-13,PETR4,Energia,48.42,1690318,32.66
2024-06-14,PETR4,Energia,49.07,4887637,34.44
2024-06-17,PETR4,Energia,49.52,3021890,35.68
2024-06-18,PETR4,Energia,49.83,5610946,36.51
2024-06-19,PETR4,Energia,49.52,1299574,35.68
2024-06-20,PETR4,Energia,49.5,1965788,35.63
2024-06-21,PETR4,Energia,48.92,4232632,34.03
2024-06-24,PETR4,Energia,49.26,2192262,34.95
2024-06-25,PETR4,Energia,50.96,3010847,39.61
2024-06-26,PETR4,Energia,50.58,3270160,38.57
2024-06-27,PETR4,Energia,48.11,3538197,31.81
2024-06-28,PETR4,Energia,47.45,2329622,29.99
2024-07-01,PETR4,Energia,47.07,3522365,28.97
2024-07-02,PETR4,Energia,46.1,2210497,26.31
2024-07-03,PETR4,Energia,46.39,4579682,27.09
2024-07-04,PETR4,Energia,46.02,3086591,26.08
2024-07-05,PETR4,Energia,47.59,3532506,30.39
2024-07-08,PETR4,Energia,47.31,11815980,29.62
2024-07-09,PETR4,Energia,48.04,1879371,31.62
2024-07-10,PETR4,Energia,46.26,6545518,26.73
2024-07-11,PETR4,Energia,44.99,864861,23.27
2024-07-12,PETR4,Energia,45.94,1156387,25.86
2024-07-15,PETR4,Energia,46.08,1757986,26.25
2024-07-16,PETR4,Energia,47.53,1814346,30.21
2024-07-17,PETR4,Energia,47.68,3619516,30.62
2024-07-18,PETR4,Energia,46.45,3778815,27.27
2024-07-19,PETR4,Energia,46.8,2877951,28.21
2024-07-22,PETR4,Energia,48.72,3032994,33.48
2024-07-23,PETR4,Energia,49.35,4256179,35.22
2024-07-24,PETR4,Energia,49.93,4958490,36.81
2024-07-25,PETR4,Energia,49.25,1684080,34.93
2024-07-26,PETR4,Energia,50.64,2727932,38.75
2024-07-29,PETR4,Energia,51.8,3157228,41.93
2024-07-30,PETR4,Energia,52.16,4166796,42.92
2024-07-31,PETR4,Energia,51.5,2221440,41.1
2024-08-01,PETR4,Energia,50.84,3126389,39.28
2024-08-02,PETR4,Energia,52.39,3318395,43.52
2024-08-05,PETR4,Energia,53.44,2298494,46.42
2024-08-06,PETR4,Energia,52.58,2271253,44.04
2024-08-07,PETR4,Energia,53.58,3434469,46.79
2024-08-08,PETR4,Energia,52.33,3062761,43.37
2024-08-09,PETR4,Energia,52.88,4198503,44.87
2024-08-12,PETR4,Energia,54.21,1930656,48.52
2024-08-13,PETR4,Energia,53.42,2743264,46.37
2024-08-14,PETR4,Energia,54.21,2915033,48.51
2024-08-15,PETR4,Energia,53.0,4910724,45.21
2024-08-16,PETR4,Energia,52.02,2042720,42.51
2024-08-19,PETR4,Energia,53.97,3675964,47.86
2024-08-20,PETR4,Energia,55.25,3709389,51.36
2024-08-21,PETR4,Energia,56.21,7446082,54.0
2024-08-22,PETR4,Energia,57.64,1975743,57.91
2024-08-23,PETR4,Energia,58.31,2353427,59.74
2024-08-26,PETR4,Energia,57.48,2045846,57.49
2024-08-27,PETR4,Energia,55.2,1418499,51.25
2024-08-28,PETR4,Energia,54.65,7899764,49.71
2024-08-29,PETR4,Energia,55.02,1757230,50.73
2024-08-30,PETR4,Energia,56.41,2173495,54.55
2024-09-02,PETR4,Energia,55.23,6311495,51.32
2024-09-03,PETR4,Energia,55.75,1360613,52.74
2024-09-04,PETR4,Energia,55.72,4771521,52.67
2024-09-05,PETR4,Energia,55.74,1612808,52.7
2024-09-06,PETR4,Energia,56.06,6097243,53.59
2024-09-09,PETR4,Energia,58.88,1104674,61.31
2024-09-10,PETR4,Energia,59.1,1360367,61.92
2024-09-11,PETR4,Energia,60.64,2489366,66.12
2024-09-12,PETR4,Energia,59.49,5314297,62.98
2024-09-13,PETR4,Energia,59.44,3218805,62.84
2024-09-16,PETR4,Energia,58.81,2763870,61.12
2024-09-17,PETR4,Energia,58.55,6407771,60.42
2024-09-18,PETR4,Energia,58.38,9603323,59.94
2024-09-19,PETR4,Energia,56.91,4575052,55.91
2024-09-20,PETR4,Energia,56.12,2394231,53.76
2024-09-23,PETR4,Energia,55.1,2652275,50.96
2024-09-24,PETR4,Energia,52.65,1716462,44.25
2024-09-25,PETR4,Energia,53.19,3438028,45.71
2024-09-26,PETR4,Energia,53.41,1447290,46.33
2024-09-27,PETR4,Energia,53.05,4307773,45.35
2024-09-30,PETR4,Energia,54.35,8910910,48.92
2024-10-01,PETR4,Energia,55.5,4679939,52.04
2024-10-02,PETR4,Energia,54.29,2585491,48.75
2024-10-03,PETR4,Energia,53.74,4254418,47.22
2024-10-04,PETR4,Energia,54.37,7350410,48.95
2024-10-07,PETR4,Energia,53.07,7168789,45.41
2024-10-08,PETR4,Energia,52.22,1979037,43.06
2024-10-09,PETR4,Energia,54.89,4219166,50.39
2024-10-10,PETR4,Energia,55.41,3020549,51.8
2024-10-11,PETR4,Energia,55.6,4892904,52.32
2024-10-14,PETR4,Energia,52.56,3960207,43.99
2024-10-15,PETR4,Energia,52.73,999628,44.47
2024-10-16,PETR4,Energia,52.21,2746927,43.03
2024-10-17,PETR4,Energia,52.62,3610219,44.17
2024-10-18,PETR4,Energia,53.93,1595691,47.75
2024-10-21,PETR4,Energia,55.74,4371037,52.71
2024-10-22,PETR4,Energia,56.28,1525743,54.18
2024-10-23,PETR4,Energia,58.71,2192998,60.86
2024-10-24,PETR4,Energia,56.97,6392627,56.08
2024-10-25,PETR4,Energia,56.68,2101393,55.29
2024-10-28,PETR4,Energia,55.59,4355645,52.3
2024-10-29,PETR4,Energia,56.0,1360296,53.42
2024-10-30,PETR4,Energia,55.42,9254841,51.84
2024-10-31,PETR4,Energia,54.26,2807270,48.67
2024-11-01,PETR4,Energia,53.34,3428592,46.12
2024-11-04,PETR4,Energia,52.71,3575152,44.4
2024-11-05,PETR4,Energia,54.01,4429438,47.98
2024-11-06,PETR4,Energia,52.93,1529436,45.01
2024-11-07,PETR4,Energia,54.31,3260306,48.79
2024-11-08,PETR4,Energia,54.2,2351621,48.48
2024-11-11,PETR4,Energia,54.52,1404541,49.38
2024-11-12,PETR4,Energia,54.5,5355106,49.3
2024-11-13,PETR4,Energia,54.58,2741219,49.52
2024-11-14,PETR4,Energia,56.14,3690454,53.82
2024-11-15,PETR4,Energia,56.66,3576598,55.23
2024-11-18,PETR4,Energia,56.76,2765062,55.52
2024-11-19,PETR4,Energia,57.85,8775845,58.49
2024-11-20,PETR4,Energia,57.66,3192668,57.97
2024-11-21,PETR4,Energia,57.06,1500072,56.32
2024-11-22,PETR4,Energia,58.02,2675934,58.96
2024-11-25,PETR4,Energia,58.33,4196950,59.82
2024-11-26,PETR4,Energia,56.91,4266470,55.91
2024-11-27,PETR4,Energia,56.36,1897617,54.41
2024-11-28,PETR4,Energia,56.57,5202975,54.98
2024-11-29,PETR4,Energia,56.24,1353990,54.08
2024-12-02,PETR4,Energia,56.55,5792459,54.93
2024-12-03,PETR4,Energia,55.76,1690146,52.78
2024-12-04,PETR4,Energia,55.27,2919367,51.42
2024-12-05,PETR4,Energia,55.06,5566540,50.86
2024-12-06,PETR4,Energia,55.35,3470477,51.66
2024-12-09,PETR4,Energia,54.12,4917688,48.28
2024-12-10,PETR4,Energia,53.14,4454079,45.59
2024-12-11,PETR4,Energia,52.34,6219090,43.4
2024-12-12,PETR4,Energia,49.68,5559979,36.12
2024-12-13,PETR4,Energia,51.49,2605480,41.07
2024-12-16,PETR4,Energia,52.16,4485994,42.9
2024-12-17,PETR4,Energia,51.26,1523809,40.43
2024-12-18,PETR4,Energia,52.13,3175728,42.82
2024-12-19,PETR4,Energia,53.88,4922082,47.62
2024-12-20,PETR4,Energia,53.96,3495279,47.82
2024-12-23,PETR4,Energia,52.42,4086992,43.62
2024-12-24,PETR4,Energia,52.61,2938364,44.14
2024-12-25,PETR4,Energia,53.72,5748989,47.18
2024-12-26,PETR4,Energia,55.21,3140184,51.27
2024-12-27,PETR4,Energia,57.19,2590275,56.67
2024-12-30,PETR4,Energia,58.77,5092394,61.01
2024-12-31,PETR4,Energia,57.32,1619163,57.03
2024-01-02,VALE3,Mineração,70.2,1711120,0.0
2024-01-03,VALE3,Mineração,70.41,5841004,0.3
2024-01-04,VALE3,Mineração,70.22,2587362,0.03
2024-01-05,VALE3,Mineração,73.5,3887403,4.7
2024-01-08,VALE3,Mineração,71.86,3193217,2.37
2024-01-09,VALE3,Mineração,71.36,4149591,1.65
2024-01-10,VALE3,Mineração,72.02,3397026,2.6
2024-01-11,VALE3,Mineração,75.02,1721151,6.87
2024-01-12,VALE3,Mineração,74.9,5379647,6.7
2024-01-15,VALE3,Mineração,77.11,2553873,9.84
2024-01-16,VALE3,Mineração,74.21,1501100,5.72
2024-01-17,VALE3,Mineração,74.22,2639083,5.72
2024-01-18,VALE3,Mineração,75.89,6923139,8.1
2024-01-19,VALE3,Mineração,74.25,5000812,5.76
2024-01-22,VALE3,Mineração,74.39,2746049,5.97
2024-01-23,VALE3,Mineração,73.05,2745218,4.05
2024-01-24,VALE3,Mineração,74.39,2783396,5.97
2024-01-25,VALE3,Mineração,78.51,9233733,11.84
2024-01-26,VALE3,Mineração,77.02,3956885,9.72
2024-01-29,VALE3,Mineração,74.96,4053214,6.78
2024-01-30,VALE3,Mineração,78.75,5471928,12.18
2024-01-31,VALE3,Mineração,81.28,3683576,15.78
2024-02-01,VALE3,Mineração,80.41,2871884,14.54
2024-02-02,VALE3,Mineração,78.29,2963332,11.52
2024-02-05,VALE3,Mineração,77.28,3154054,10.09
2024-02-06,VALE3,Mineração,75.14,3208739,7.03
2024-02-07,VALE3,Mineração,72.6,4703487,3.43
2024-02-08,VALE3,Mineração,71.34,3355035,1.63
2024-02-09,VALE3,Mineração,69.64,4715285,-0.8
2024-02-12,VALE3,Mineração,69.33,3139712,-1.24
2024-02-13,VALE3,Mineração,69.17,3400107,-1.47
2024-02-14,VALE3,Mineração,73.15,1203686,4.2
2024-02-15,VALE3,Mineração,71.55,5168865,1.93
2024-02-16,VALE3,Mineração,72.16,3887373,2.79
2024-02-19,VALE3,Mineração,72.53,5384338,3.32
2024-02-20,VALE3,Mineração,71.37,768251,1.66
2024-02-21,VALE3,Mineração,72.6,9287568,3.42
2024-02-22,VALE3,Mineração,69.15,3048637,-1.5
2024-02-23,VALE3,Mineração,68.59,5689263,-2.29
2024-02-26,VALE3,Mineração,69.0,1943589,-1.71
2024-02-27,VALE3,Mineração,70.36,4440985,0.23
2024-02-28,VALE3,Mineração,70.95,1930505,1.07
2024-02-29,VALE3,Mineração,74.74,2393136,6.47
2024-03-01,VALE3,Mineração,73.43,8512239,4.6
2024-03-04,VALE3,Mineração,71.27,2971741,1.52
2024-03-05,VALE3,Mineração,69.68,3644451,-0.74
2024-03-06,VALE3,Mineração,68.45,5050682,-2.49
2024-03-07,VALE3,Mineração,68.36,4188448,-2.62
2024-03-08,VALE3,Mineração,70.44,3524360,0.35
2024-03-11,VALE3,Mineração,71.1,3923444,1.28
2024-03-12,VALE3,Mineração,70.49,10872071,0.41
2024-03-13,VALE3,Mineração,68.88,3176182,-1.88
2024-03-14,VALE3,Mineração,69.01,3614808,-1.69
2024-03-15,VALE3,Mineração,68.68,5527947,-2.16
2024-03-18,VALE3,Mineração,70.5,5681710,0.43
2024-03-19,VALE3,Mineração,71.61,5918035,2.01
2024-03-20,VALE3,Mineração,68.56,4498997,-2.33
2024-03-21,VALE3,Mineração,70.65,1845936,0.63
2024-03-22,VALE3,Mineração,73.76,7397966,5.07
2024-03-25,VALE3,Mineração,73.63,1842856,4.89
2024-03-26,VALE3,Mineração,72.58,3803064,3.38
2024-03-27,VALE3,Mineração,72.86,2241962,3.78
2024-03-28,VALE3,Mineração,72.39,3165845,3.13
2024-03-29,VALE3,Mineração,72.37,3853071,3.09
2024-04-01,VALE3,Mineração,76.35,3838831,8.77
2024-04-02,VALE3,Mineração,77.3,4036789,10.12
2024-04-03,VALE3,Mineração,75.89,7325380,8.11
2024-04-04,VALE3,Mineração,74.53,4101105,6.16
2024-04-05,VALE3,Mineração,73.66,2893338,4.93
2024-04-08,VALE3,Mineração,73.02,5293782,4.02
2024-04-09,VALE3,Mineração,76.26,5925260,8.64
2024-04-10,VALE3,Mineração,76.8,1769479,9.41
2024-04-11,VALE3,Mineração,77.14,4406979,9.88
2024-04-12,VALE3,Mineração,78.57,4641677,11.92
2024-04-15,VALE3,Mineração,78.06,2817099,11.19
2024-04-16,VALE3,Mineração,83.3,6503515,18.66
2024-04-17,VALE3,Mineração,82.42,3032725,17.4
2024-04-18,VALE3,Mineração,81.23,3480854,15.72
2024-04-19,VALE3,Mineração,83.19,2998024,18.5
2024-04-22,VALE3,Mineração,82.39,3294580,17.36
2024-04-23,VALE3,Mineração,85.54,1889574,21.85
2024-04-24,VALE3,Mineração,87.0,1591161,23.94
2024-04-25,VALE3,Mineração,87.86,7255370,25.16
2024-04-26,VALE3,Mineração,88.43,2140434,25.97
2024-04-29,VALE3,Mineração,89.7,1991311,27.78
2024-04-30,VALE3,Mineração,90.75,1113818,29.28
2024-05-01,VALE3,Mineração,92.77,2375026,32.16
2024-05-02,VALE3,Mineração,95.33,1686987,35.79
2024-05-03,VALE3,Mineração,97.15,7429785,38.39
2024-05-06,VALE3,Mineração,100.74,5416219,43.51
2024-05-07,VALE3,Mineração,102.29,2317326,45.71
2024-05-08,VALE3,Mineração,103.1,10081553,46.87
2024-05-09,VALE3,Mineração,102.54,5340782,46.06
2024-05-10,VALE3,Mineração,104.84,2778951,49.35
2024-05-13,VALE3,Mineração,102.49,936867,45.99
2024-05-14,VALE3,Mineração,101.46,10277537,44.54
2024-05-15,VALE3,Mineração,100.95,1631831,43.8
2024-05-16,VALE3,Mineração,101.32,1435897,44.33
2024-05-17,VALE3,Mineração,104.18,5450866,48.4
2024-05-20,VALE3,Mineração,104.3,11071404,48.58
2024-05-21,VALE3,Mineração,102.6,6531429,46.16
2024-05-22,VALE3,Mineração,99.08,4333796,41.13
2024-05-23,VALE3,Mineração,100.27,4401153,42.84
2024-05-24,VALE3,Mineração,100.69,5008804,43.44
2024-05-27,VALE3,Mineração,105.35,4777673,50.07
2024-05-28,VALE3,Mineração,105.14,3762505,49.77
2024-05-29,VALE3,Mineração,108.05,3443849,53.92
2024-05-30,VALE3,Mineração,108.86,3168292,55.07
2024-05-31,VALE3,Mineração,113.01,2242311,60.99
2024-06-03,VALE3,Mineração,112.66,2840988,60.49
2024-06-04,VALE3,Mineração,110.7,1402155,57.69
2024-06-05,VALE3,Mineração,112.13,3112168,59.72
2024-06-06,VALE3,Mineração,112.65,1994102,60.47
2024-06-07,VALE3,Mineração,114.88,1882677,63.65
2024-06-10,VALE3,Mineração,115.09,3576685,63.94
2024-06-11,VALE3,Mineração,118.24,6556720,68.43
2024-06-12,VALE3,Mineração,115.55,5174008,64.6
2024-06-13,VALE3,Mineração,114.23,1490690,62.72
2024-06-14,VALE3,Mineração,114.04,1993068,62.45
2024-06-17,VALE3,Mineração,118.11,5232426,68.25
2024-06-18,VALE3,Mineração,115.33,2000197,64.29
2024-06-19,VALE3,Mineração,112.66,2921721,60.48
2024-06-20,VALE3,Mineração,115.51,4303873,64.54
2024-06-21,VALE3,Mineração,117.48,2014391,67.35
2024-06-24,VALE3,Mineração,118.13,3445872,68.28
2024-06-25,VALE3,Mineração,119.8,1677788,70.65
2024-06-26,VALE3,Mineração,123.31,2420092,75.65
2024-06-27,VALE3,Mineração,118.63,3835809,68.99
2024-06-28,VALE3,Mineração,113.19,1474018,61.24
2024-07-01,VALE3,Mineração,113.57,4074413,61.78
2024-07-02,VALE3,Mineração,110.2,3237076,56.98
2024-07-03,VALE3,Mineração,107.84,4309123,53.63
2024-07-04,VALE3,Mineração,108.1,3656280,53.99
2024-07-05,VALE3,Mineração,109.29,6466012,55.68
2024-07-08,VALE3,Mineração,106.73,3480241,52.04
2024-07-09,VALE3,Mineração,105.73,2637381,50.61
2024-07-10,VALE3,Mineração,106.72,3475151,52.03
2024-07-11,VALE3,Mineração,107.81,4289363,53.58
2024-07-12,VALE3,Mineração,108.63,3349863,54.74
2024-07-15,VALE3,Mineração,111.4,3336042,58.68
2024-07-16,VALE3,Mineração,109.11,2301344,55.43
2024-07-17,VALE3,Mineração,107.2,2346767,52.7
2024-07-18,VALE3,Mineração,103.51,1621232,47.45
2024-07-19,VALE3,Mineração,103.63,7840305,47.62
2024-07-22,VALE3,Mineração,104.5,1755156,48.85
2024-07-23,VALE3,Mineração,104.92,2311824,49.46
2024-07-24,VALE3,Mineração,104.13,2282533,48.33
2024-07-25,VALE3,Mineração,99.68,5113845,42.0
2024-07-26,VALE3,Mineração,103.52,2820783,47.46
2024-07-29,VALE3,Mineração,103.69,6100437,47.71
2024-07-30,VALE3,Mineração,106.56,2334374,51.8
2024-07-31,VALE3,Mineração,107.8,3758374,53.56
2024-08-01,VALE3,Mineração,107.97,2152900,53.8
2024-08-02,VALE3,Mineração,109.62,9554994,56.15
2024-08-05,VALE3,Mineração,111.07,1805234,58.22
2024-08-06,VALE3,Mineração,111.65,3816751,59.05
2024-08-07,VALE3,Mineração,117.53,4487868,67.43
2024-08-08,VALE3,Mineração,118.7,4020430,69.09
2024-08-09,VALE3,Mineração,118.8,2979768,69.23
2024-08-12,VALE3,Mineração,119.49,3063564,70.22
2024-08-13,VALE3,Mineração,121.84,3341417,73.56
2024-08-14,VALE3,Mineração,121.18,3037359,72.63
2024-08-15,VALE3,Mineração,127.81,5293231,82.06
2024-08-16,VALE3,Mineração,126.4,9872478,80.06
2024-08-19,VALE3,Mineração,123.93,2473770,76.54
2024-08-20,VALE3,Mineração,124.89,1648042,77.9
2024-08-21,VALE3,Mineração,124.26,3127857,77.0
2024-08-22,VALE3,Mineração,129.46,11873916,84.42
2024-08-23,VALE3,Mineração,127.23,2187265,81.24
2024-08-26,VALE3,Mineração,124.83,7419026,77.82
2024-08-27,VALE3,Mineração,118.47,7563543,68.76
2024-08-28,VALE3,Mineração,116.13,2478603,65.42
2024-08-29,VALE3,Mineração,110.02,4344805,56.72
2024-08-30,VALE3,Mineração,106.71,7379366,52.0
2024-09-02,VALE3,Mineração,108.84,2704523,55.05
2024-09-03,VALE3,Mineração,111.83,2952638,59.3
2024-09-04,VALE3,Mineração,112.88,2444031,60.79
2024-09-05,VALE3,Mineração,112.45,1968183,60.19
2024-09-06,VALE3,Mineração,111.96,2362807,59.49
2024-09-09,VALE3,Mineração,115.64,1772727,64.73
2024-09-10,VALE3,Mineração,113.59,3325204,61.81
2024-09-11,VALE3,Mineração,116.15,2224434,65.45
2024-09-12,VALE3,Mineração,116.84,3674372,66.44
2024-09-13,VALE3,Mineração,116.94,1501615,66.59
2024-09-16,VALE3,Mineração,116.68,3857153,66.21
2024-09-17,VALE3,Mineração,118.21,4959247,68.4
2024-09-18,VALE3,Mineração,113.69,1206376,61.96
2024-09-19,VALE3,Mineração,112.97,3941328,60.92
2024-09-20,VALE3,Mineração,110.14,6039516,56.89
2024-09-23,VALE3,Mineração,105.76,1785447,50.65
2024-09-24,VALE3,Mineração,104.53,7544174,48.9
2024-09-25,VALE3,Mineração,109.83,4030937,56.45
2024-09-26,VALE3,Mineração,111.65,2297872,59.05
2024-09-27,VALE3,Mineração,108.59,3179121,54.68
2024-09-30,VALE3,Mineração,110.17,4321717,56.94
2024-10-01,VALE3,Mineração,114.11,3395639,62.55
2024-10-02,VALE3,Mineração,115.17,4279633,64.06
2024-10-03,VALE3,Mineração,115.52,2062982,64.56
2024-10-04,VALE3,Mineração,113.97,3557897,62.35
2024-10-07,VALE3,Mineração,114.1,1612252,62.53
2024-10-08,VALE3,Mineração,115.57,3092180,64.63
2024-10-09,VALE3,Mineração,118.64,2080348,69.0
2024-10-10,VALE3,Mineração,121.86,2263074,73.6
2024-10-11,VALE3,Mineração,126.27,6065009,79.87
2024-10-14,VALE3,Mineração,122.7,5641469,74.79
2024-10-15,VALE3,Mineração,124.83,4432919,77.82
2024-10-16,VALE3,Mineração,126.14,1893322,79.68
2024-10-17,VALE3,Mineração,132.79,2790679,89.17
2024-10-18,VALE3,Mineração,131.61,5995674,87.48
2024-10-21,VALE3,Mineração,143.08,3509058,103.82
2024-10-22,VALE3,Mineração,144.68,10424452,106.1
2024-10-23,VALE3,Mineração,144.59,3979468,105.96
2024-10-24,VALE3,Mineração,144.7,3598488,106.13
2024-10-25,VALE3,Mineração,144.81,2800873,106.29
2024-10-28,VALE3,Mineração,145.58,3494743,107.39
2024-10-29,VALE3,Mineração,148.6,3029066,111.68
2024-10-30,VALE3,Mineração,145.35,4657802,107.05
2024-10-31,VALE3,Mineração,144.84,5274271,106.32
2024-11-01,VALE3,Mineração,150.86,2206692,114.9
2024-11-04,VALE3,Mineração,156.8,1680133,123.36
2024-11-05,VALE3,Mineração,162.73,1305239,131.81
2024-11-06,VALE3,Mineração,159.15,4214306,126.72
2024-11-07,VALE3,Mineração,160.88,1882886,129.18
2024-11-08,VALE3,Mineração,159.84,1114096,127.69
2024-11-11,VALE3,Mineração,155.39,3970050,121.35
2024-11-12,VALE3,Mineração,156.54,11370123,123.0
2024-11-13,VALE3,Mineração,151.04,3259109,115.16
